"","ensembl_gene_id","entrezgene","external_gene_id","chromosome_name","start_position","end_position","Module.Color","Module.name","kME.CD1.turquoise","kME.CD2.blue","kME.CD3.brown","kME.CD4.yellow","kME.CD5.green","kME.CD6.red","kME.CD7.black","kME.CD8.pink","kME.CD9.magenta","kME.CD10.purple","kME.CD11.greenyellow","kME.CD12.tan","kME.CD13.salmon"
"ENSG00000001626","ENSG00000001626",1080,"CFTR","7",117105838,117356025,"grey","CD0",-0.0717916280205495,0.273635387628211,0.0958775245199748,-0.0298542760629734,-0.27729533783719,0.395600370784843,-0.24352456585909,0.251983871311669,0.0760509236546312,-0.125047567165392,0.0363346756425013,0.0781333547976782,-0.242419388142752
"ENSG00000001630","ENSG00000001630",1595,"CYP51A1","7",91741465,91772266,"black","CD7",-0.232125357624929,-0.152173476472917,0.152532334602337,0.0276249931127507,0.349087147418495,-0.268375646045566,0.468501236924505,-0.376617938986734,-0.330934127999465,0.0187767783626132,-0.161170066179317,-0.05906795390326,0.0878731982775052
"ENSG00000002016","ENSG00000002016",5893,"RAD52","12",1021243,1099219,"grey","CD0",-0.0192823932861888,-0.00921964070211895,0.129424716746998,0.0914759871466333,-0.142830231798237,0.0364831120181735,-0.0498814750062476,0.0622260305204058,0.153643574018519,-0.0814021054529805,0.000725775536465449,0.0370947563462287,-0.102661133509632
"ENSG00000002330","ENSG00000002330",572,"BAD","11",64037302,64052176,"turquoise","CD1",0.581139509459722,-0.046987902877725,-0.168010425505594,-0.298435305129218,0.173440179718611,0.142066576589525,-0.165241292263276,0.391679951609395,0.34423881268199,0.527863002559813,-0.0664426211167431,8.02917125482718e-05,0.298845306135441
"ENSG00000002549","ENSG00000002549",51056,"LAP3","4",17578815,17609595,"brown","CD3",-0.381349759634359,-0.380478793271443,0.486282244017847,0.383416691124102,0.170900653950496,-0.303330392285579,0.529286701659544,-0.407122531648351,-0.108748034386614,-0.0486382831048893,0.372438865248373,-0.00957629866902228,-0.221710845583584
"ENSG00000002586","ENSG00000002586",4267,"CD99","X",2609220,2659350,"yellow","CD4",-0.33101363370433,-0.0615998033557561,0.365740451373086,0.732801870342608,-0.397109157878662,-0.00518695868511571,0.0531600705162573,-0.029761001919443,0.234044999546441,-0.414394614680159,0.438414570969867,0.145417496423485,-0.570481669249315
"ENSG00000002587","ENSG00000002587",9957,"HS3ST1","4",11394774,11431389,"grey","CD0",0.20250921857158,-0.221155389246919,-0.0839001168836984,-0.254650242606694,0.289864514257556,-0.0569884166312569,0.110744426590692,0.0236916985661685,0.00930827842945181,0.280686039326624,-0.0298294590460649,0.0353568345012254,0.315893010167512
"ENSG00000002726","ENSG00000002726",26,"AOC1","7",150521715,150558592,"blue","CD2",-0.0691294282728848,0.450505660745392,-0.125385464763004,-0.0659435933068165,-0.274796191146113,0.334737741338383,-0.326984232506184,0.216970216570624,0.00465408438202086,-0.166154663986002,-0.00394815647592711,0.0916853242381085,-0.204804358314097
"ENSG00000002745","ENSG00000002745",51384,"WNT16","7",120965421,120981158,"grey","CD0",-0.0764094657533303,0.331144348087916,-0.098468908906256,0.0322999197561469,-0.132380620696547,0.165008987573735,-0.149015327275061,0.0961163131097985,-0.0434905983526094,-0.0890656786735756,0.0246148988945005,0.000770681755377808,-0.110073379903505
"ENSG00000002746","ENSG00000002746",23072,"HECW1","7",43152198,43605600,"salmon","CD13",0.475627456739839,-0.267444242540744,-0.386541703247483,-0.368140944471241,0.518173951786999,-0.202601632414291,0.115936053902182,0.00342931465285832,-0.0476142283752566,0.502162210034197,-0.3496288418214,-0.162765139703632,0.710365269206486
"ENSG00000002822","ENSG00000002822",8379,"MAD1L1","7",1855429,2272878,"turquoise","CD1",0.558849867294901,-0.209933038160218,-0.0286337289687873,-0.14662179564434,0.165191333893652,0.036507151934199,-0.0689503390773672,0.327990973752742,0.439735081067028,0.443764174411546,-0.170863511966323,-0.0521514456379571,0.332466902032504
"ENSG00000002834","ENSG00000002834",3927,"LASP1","17",37026112,37078023,"grey","CD0",0.324357868958915,-0.0754918921501586,-0.297031189953878,0.0245878282108044,0.134778890229612,0.00198181345390639,-0.0141004054668684,0.179096154229867,0.123008201144257,0.10761784611019,-0.0577216138560896,0.108526145270802,0.244041968158425
"ENSG00000002919","ENSG00000002919",29916,"SNX11","17",46180719,46200436,"grey","CD0",0.187218706564681,-0.123783227423874,0.0845670255876252,-0.0750223465190867,0.108751959836086,-0.139567044608247,0.112267609819062,-0.0120096789216507,0.202292727582118,0.21781348626178,0.00695062151135019,-0.127248644321313,0.148124734784393
"ENSG00000002933","ENSG00000002933",55365,"TMEM176A","7",150497491,150502208,"yellow","CD4",-0.289338091873805,0.0955805822158303,0.227540562675474,0.64339701800743,-0.409158868206933,-0.0117738286560038,-0.041217017426558,-0.0282117011143996,0.165629481927047,-0.446703674736286,0.314790457648588,0.0286748283764355,-0.499454735303222
"ENSG00000003056","ENSG00000003056",4074,"M6PR","12",9092959,9102551,"grey","CD0",0.210947295304266,-0.332216450386145,0.0304290440922301,-0.0685923195221037,0.271908737345368,-0.150741764281435,0.223859781725101,-0.0704303539605761,0.106641124680454,0.351414271407088,0.132410747402652,-0.0976505482717097,0.256230029570482
"ENSG00000003137","ENSG00000003137",56603,"CYP26B1","2",72356367,72375167,"grey","CD0",0.434368479509388,-0.208389603884685,-0.215571480760327,-0.355256408820956,0.405854176623098,-0.161878374092832,0.0889134213770709,0.0301834160633515,0.0321388671705577,0.441564514840158,-0.23433828895528,-0.0897035984703145,0.518545653472712
"ENSG00000003147","ENSG00000003147",3382,"ICA1","7",8152814,8302317,"grey","CD0",0.571551185209904,-0.201032340022836,-0.361795727782086,-0.421678514082591,0.439027943621097,-0.122229794956909,0.00868460740814884,0.11203376867296,0.0730422068330732,0.591492756917248,-0.296069014903266,-0.0189310319895686,0.646175091530387
"ENSG00000003249","ENSG00000003249",79007,"DBNDD1","16",90071273,90086536,"turquoise","CD1",0.461450492566333,0.105471326958973,-0.430962931059318,-0.249392538037635,0.0647310615053683,0.205042975732599,-0.309857491294992,0.393083150071472,0.139723475777896,0.222288817504461,-0.245723357833997,0.157674910735577,0.319916456042254
"ENSG00000003400","ENSG00000003400",843,"CASP10","2",202047604,202094129,"blue","CD2",-0.0986374513971182,0.486688112271491,-0.124956422251711,-0.0667422124624977,-0.300855491632176,0.301919715058419,-0.340750815164524,0.168626180121322,-0.0472465497499248,-0.18434649186994,0.168018855055585,0.233355089553072,-0.212101903285308
"ENSG00000003402","ENSG00000003402",8837,"CFLAR","2",201980827,202041410,"brown","CD3",-0.398473458521649,-0.0199688982046615,0.421079986537942,0.351741260966161,-0.306824075795706,-0.0404912539480318,0.081669391413397,-0.179837069519709,0.0349155631489674,-0.378470296424328,0.307978642064465,0.116944662395053,-0.454807997464628
"ENSG00000003436","ENSG00000003436",7035,"TFPI","2",188328957,188430487,"grey","CD0",-0.094101083606057,-0.00928219066791836,-0.0302438618872778,0.24061145196749,-0.176039414743768,0.0703911824855816,-0.0703896549020465,0.0707876513429133,0.0894890799993194,-0.20436294541244,0.278637160363246,0.515954499044733,-0.200821431234633
"ENSG00000003509","ENSG00000003509",55471,"NDUFAF7","2",37458774,37480546,"grey","CD0",0.119088626415611,-0.390902149912917,0.0143016785427784,-0.180700702172318,0.455270439942789,-0.32932723104614,0.38386285005771,-0.252254060299878,-0.0895587460998474,0.332451084736044,-0.0515177899947589,-0.0839079452909679,0.363918543231358
"ENSG00000003756","ENSG00000003756",10181,"RBM5","3",50126341,50156454,"grey","CD0",0.134598337903113,-0.206957659089669,0.369716605794164,0.0446387468519547,-0.0482015693757489,-0.237976894785286,0.11694693981047,-0.015990580316846,0.402390147830169,0.0940431614705049,0.00150545113099477,-0.0757210678230925,-0.054271446476861
"ENSG00000003987","ENSG00000003987",9108,"MTMR7","8",17155539,17271037,"grey","CD0",0.00803621196683499,-0.212807317654555,0.00858694826068756,-0.334072269378005,0.497804724907517,-0.281287729819018,0.391023842063003,-0.316678556735701,-0.33515320319859,0.329377356007233,-0.0544385562455086,-0.0623079981479258,0.322943229790977
"ENSG00000003989","ENSG00000003989",6542,"SLC7A2","8",17354597,17428082,"yellow","CD4",-0.333440258877527,-0.00496056565623752,0.239234297433728,0.688488664320555,-0.371725608032259,0.0223723689019384,0.0258323546230411,-0.0354616558366152,0.126986415779037,-0.455836132384613,0.300311426669639,0.175937230649045,-0.45566174320932
"ENSG00000004059","ENSG00000004059",381,"ARF5","7",127228399,127231759,"turquoise","CD1",0.689815216909455,-0.10532192675776,-0.325939455640773,-0.373664267843681,0.221458016266274,0.0427201518825993,-0.225563212748883,0.343231388173044,0.329281933369893,0.555474945956783,-0.233772024138798,-0.0697745342465398,0.476882230215251
"ENSG00000004139","ENSG00000004139",23098,"SARM1","17",26691378,26728065,"pink","CD8",0.275036179303409,0.154401477501619,-0.19337009731736,0.0350136191408564,-0.263243328261746,0.267459112188424,-0.343011872790737,0.410363670836702,0.346532622949772,-0.0599163772387115,-0.00523991089750406,0.111800913924962,-0.0363195734666497
"ENSG00000004142","ENSG00000004142",26073,"POLDIP2","17",26673659,26684545,"turquoise","CD1",0.481474612960012,-0.0881292281317844,-0.287528345298786,-0.281169545338279,0.272051726557843,0.0356022169911933,-0.0764489708887967,0.212692820570218,0.116721393226873,0.438752671310732,-0.119849267315471,0.0725144123580028,0.456217549895122
"ENSG00000004399","ENSG00000004399",23129,"PLXND1","3",129274018,129325661,"magenta","CD9",0.233268784861024,0.0613994203214066,0.0702271254357413,0.107171169472369,-0.259121735452129,0.154097309852096,-0.206534074880002,0.36380150096628,0.426766031768246,-0.0800446349149466,-0.0432987052891458,0.149351006467505,-0.130507834867894
"ENSG00000004455","ENSG00000004455",204,"AK2","1",33473585,33546597,"brown","CD3",-0.321771909515281,-0.142172055384335,0.540421078991943,0.421139775514926,-0.168739254387935,-0.250842608141012,0.248254103692205,-0.246268836047586,0.085765895365351,-0.251368033925414,0.249898155636179,0.0278970363915626,-0.387797170853685
"ENSG00000004468","ENSG00000004468",952,"CD38","4",15779898,15854853,"yellow","CD4",-0.319247808388854,0.212258515668909,0.22586285735478,0.438048682804471,-0.328253482617887,0.0318670570551275,-0.06428794598922,-0.0638078701546668,-0.024634396709157,-0.364842316623711,0.148198510426165,0.0075671817576583,-0.406221884225274
"ENSG00000004478","ENSG00000004478",2288,"FKBP4","12",2904119,2914576,"grey","CD0",0.239162637347539,-0.190684183108358,-0.0529925109926359,-0.187873806385067,0.174879882283483,-0.0352506398826701,0.0670847453490108,0.0568018295101099,0.175243499033146,0.261691423777975,-0.0879439121482044,-0.061777716246964,0.274393599075632
"ENSG00000004487","ENSG00000004487",23028,"KDM1A","1",23345941,23410182,"grey","CD0",0.507398054879844,-0.278989228542886,-0.24006487356993,-0.130736913884372,0.295905193941611,-0.0681356102405291,0.0392505188900201,0.128571738140678,0.243584468112124,0.471188561623018,-0.117843561550984,-0.105398998360124,0.487666448397075
"ENSG00000004534","ENSG00000004534",10180,"RBM6","3",49977440,50137478,"grey","CD0",0.235790651592292,-0.19486428757641,0.0822888585504291,0.0738745573762068,-0.0997296434571616,0.0363168008093058,-0.0407145291869816,0.24412798817263,0.420329388516343,0.0403098160483317,0.00684197651545184,0.129166641503694,-0.029822878166179
"ENSG00000004700","ENSG00000004700",5965,"RECQL","12",21621845,21654603,"black","CD7",-0.307313619889576,-0.345808259551851,0.316862475237762,0.0327991193558034,0.31653748494483,-0.457698596511551,0.549762998144281,-0.514369849960781,-0.310066423770699,0.0139262632786056,0.0873514744725955,-0.0476598949145345,0.00499942734619564
"ENSG00000004766","ENSG00000004766",55610,"CCDC132","7",92861653,92988338,"grey","CD0",0.209093564388684,-0.24845158616445,-0.102085305298395,-0.409731934654103,0.588163666385251,-0.216333817533144,0.330158438548909,-0.195943231034815,-0.231202033217603,0.523008604510539,-0.147456245346675,-0.0897548558121132,0.521672332813954
"ENSG00000004776","ENSG00000004776",126393,"HSPB6","19",36245469,36248980,"blue","CD2",-0.0556480209664145,0.53495917332416,-0.191334383466423,0.146030832917675,-0.491556163587144,0.279659018980796,-0.495685218095815,0.278171532247643,0.123124193743181,-0.370035711200804,0.0851818378563181,0.149217725213016,-0.298406778546984
"ENSG00000004777","ENSG00000004777",115703,"ARHGAP33","19",36265434,36279724,"pink","CD8",0.302500404886794,0.238866162607834,-0.118620413572791,0.0107079640521335,-0.287473550391051,0.30368509020418,-0.3558700260426,0.477013412282651,0.418155219222124,-0.0675588541668406,-0.0936222376716993,0.125254274129153,-0.120208387267474
"ENSG00000004779","ENSG00000004779",4706,"NDUFAB1","16",23592323,23607677,"green","CD5",0.237575448798638,-0.39890660128058,-0.113856494343795,-0.390841043770894,0.781939794071109,-0.296847808947408,0.429245301912181,-0.267074033810535,-0.273919535451642,0.722246061742919,-0.145356862567474,-0.148283359682291,0.598670344837196
"ENSG00000004799","ENSG00000004799",5166,"PDK4","7",95212811,95225803,"yellow","CD4",-0.409904617378984,-0.16031346534957,0.548618522603421,0.666246708160395,-0.311125300888251,-0.197717119124891,0.231229098548641,-0.223312978736201,0.165514055536972,-0.469048280591815,0.203263382849401,-0.137733277982978,-0.461612126843752
"ENSG00000004838","ENSG00000004838",51364,"ZMYND10","3",50378541,50384283,"turquoise","CD1",0.396636433008415,-0.0982653603214905,-0.0300328761910765,-0.157989294433437,0.218038753929337,0.0988214136717762,0.053518739919214,0.235418295732074,0.314713898222529,0.418689664235663,-0.114380472301356,0.0259154942784789,0.25265763842922
"ENSG00000004864","ENSG00000004864",10165,"SLC25A13","7",95749532,95951459,"brown","CD3",-0.370259896209447,-0.22310355195685,0.726843446554786,0.10160501386796,0.0231986215569689,-0.262209774042501,0.395445443552156,-0.367937186189579,-0.0874518386094777,-0.0944626982756883,0.148428669180944,-0.00285309088789946,-0.257835884647706
"ENSG00000004866","ENSG00000004866",102466616,"ST7","7",116593292,116870157,"grey","CD0",0.217722613047719,-0.267821922764943,-0.118782307154523,0.0774984718447231,0.245120736599252,-0.22709016657176,0.193734830456371,-0.0740921093290274,0.0523981212131141,0.196305611275987,-0.204151424095352,-0.0633470071949891,0.328412583099874
"ENSG00000004897","ENSG00000004897",996,"CDC27","17",45195069,45266788,"grey","CD0",0.0930457840872981,-0.349131349987312,-0.0440221310953226,-0.13782290081052,0.453545434090242,-0.322135045741513,0.381528854756654,-0.267554261592705,-0.183961673448515,0.308434592993717,-0.0572882435521629,-0.130441758738371,0.353318894382089
"ENSG00000004939","ENSG00000004939",6521,"SLC4A1","17",42325753,42345509,"blue","CD2",-0.0874684310286318,0.597645039825668,-0.172009277843354,0.0267827501547218,-0.409937779231231,0.432297055126411,-0.434098374284936,0.295512409965037,0.0393111599560537,-0.313814239390347,0.00188297202628359,0.134802990434027,-0.275511586526618
"ENSG00000004948","ENSG00000004948",799,"CALCR","7",93053799,93204042,"blue","CD2",0.00520226788367709,0.399657829700745,-0.162273387130794,-0.125864325235886,-0.155042885286672,0.207232762927425,-0.278452345103594,0.148497461652899,-0.0895970438316837,-0.0470916362926274,0.059003806679713,0.0684280879040255,-0.0572318415558972
"ENSG00000004961","ENSG00000004961",3052,"HCCS","X",11129421,11141198,"green","CD5",0.243724601735196,-0.434924653571654,-0.131011731168087,-0.414498279540223,0.775592741568738,-0.410930949032108,0.477951025453006,-0.346898933232473,-0.276839200956423,0.640697956884405,-0.130070677138621,-0.189177208718876,0.671652143316116
"ENSG00000004975","ENSG00000004975",1856,"DVL2","17",7128660,7137864,"grey","CD0",0.0893765490523382,0.113086507580379,0.282300847936076,0.223272981126698,-0.340817951271335,0.0727672776742023,-0.141827615217936,0.251782593900259,0.506480308867516,-0.172348440393865,0.0707698735802562,0.0434012168633425,-0.257463944984281
"ENSG00000005001","ENSG00000005001",64063,"PRSS22","16",2902728,2908171,"red","CD6",0.0402312273561752,0.426715575013907,-0.182931476658496,0.00200554093048097,-0.310906441835665,0.532563572137886,-0.398228238270689,0.443212406844597,0.129021784142242,-0.167964580093129,-0.0107331260740999,0.191912911691817,-0.195622714524313
"ENSG00000005007","ENSG00000005007",5976,"UPF1","19",18942747,18979045,"magenta","CD9",0.333857294576461,-0.224659272681109,0.159444069072076,0.174529478619642,-0.133026413704791,-0.0862061382696748,-0.0176815602495782,0.219066988142941,0.613486552456926,0.0759023290922867,0.0053419703491261,-0.111400938291315,0.0424199853664011
"ENSG00000005020","ENSG00000005020",8935,"SKAP2","7",26706681,27034858,"green","CD5",0.276545514978926,-0.41159489819926,-0.11830165992176,-0.410484325359702,0.670527867744051,-0.352764631666031,0.403888018391257,-0.252600706797732,-0.145600900720359,0.597118181523927,-0.0566345727820641,-0.161221254488683,0.569576016376267
"ENSG00000005022","ENSG00000005022",292,"SLC25A5","X",118602363,118605282,"grey","CD0",0.0692530199800217,-0.201268317556774,0.0273660094760591,0.00359941603740679,0.416470885093009,-0.102468550112062,0.250276166766902,-0.124559991881605,-0.168547234405808,0.376425530587678,-0.079397448916073,-0.0357223195298677,0.276579178578817
"ENSG00000005059","ENSG00000005059",55013,"CCDC109B","4",110481361,110609874,"grey","CD0",-0.136818581994083,-0.211514206700509,0.231622097465703,0.00776979624963219,0.218756990467814,-0.26408049038217,0.354576160623569,-0.279569826068268,-0.0786986707784488,0.13280251175111,0.311286440426312,-0.0656770656491639,-0.054980546574647
"ENSG00000005073","ENSG00000005073",3207,"HOXA11","7",27221129,27224842,"blue","CD2",-0.14186174135053,0.559317791739171,-0.163421523335979,-0.0802333111154617,-0.274645208769494,0.288942567318818,-0.341873412217683,0.122650413836459,-0.131088130075094,-0.215938599501627,0.00228348402525564,0.0554548269107614,-0.191497804571008
"ENSG00000005102","ENSG00000005102",4222,"MEOX1","17",41717756,41739322,"pink","CD8",0.116706125482192,0.205644976393384,-0.120682293926709,-0.0418325132041059,-0.180620573658679,0.407300140147294,-0.274805474689346,0.339866807508151,0.175753252416595,-0.00372373104497826,0.0383023357606956,0.13694000099448,-0.065964416341154
"ENSG00000005156","ENSG00000005156",3980,"LIG3","17",33307513,33332083,"grey","CD0",0.240713323733711,-0.0166738848891328,-0.127456618381789,-0.0127569717627642,0.0155632162303081,0.0435680647171464,-0.07758691781459,0.168856158966142,0.159107038138046,0.114364447439062,-0.137866823291871,0.144377940481205,0.158612924235927
"ENSG00000005175","ENSG00000005175",79657,"RPAP3","12",48057070,48099844,"green","CD5",-0.0838524965903925,-0.478628771570056,0.119783151335254,-0.185312861370079,0.675111584702336,-0.584459592680076,0.675580747317551,-0.546747700497704,-0.367297398564709,0.36818406321209,0.0132215405871755,-0.21883863538481,0.323297271237554
"ENSG00000005187","ENSG00000005187",6296,"ACSM3","16",20621565,20808903,"blue","CD2",-0.0731943758014307,0.447379987013588,-0.186178668647905,-0.0628581332459503,-0.23229394372462,0.30238894576898,-0.298325661855806,0.170602319330273,-0.0938699270418945,-0.174800232035791,0.0277982675076159,0.0958785189289657,-0.139651966422404
"ENSG00000005189","ENSG00000005189",81691,"AC004381.6","16",20817751,20860987,"grey","CD0",0.274367018710951,0.0691945079857173,-0.212100401008943,-0.184484643808733,0.146792012542423,0.00169922143579063,-0.0862621599481705,0.125183108154594,0.0334809327868143,0.293119859281885,-0.170670033034998,-0.00524622176138069,0.229038409695416
"ENSG00000005194","ENSG00000005194",57019,"CIAPIN1","16",57462081,57481440,"purple","CD10",0.463620401073078,-0.331033577527469,-0.181185374041375,-0.408567633579786,0.664321590459721,-0.248871847383667,0.266036116417256,-0.0884154005823933,-0.0206231353722309,0.756083511376907,-0.143785326650844,-0.160124244086336,0.677182942864278
"ENSG00000005206","ENSG00000005206",NA,"SPPL2B","19",2328614,2355099,"grey","CD0",0.0964231038228231,0.176337059729386,0.0321657336256206,0.0907799986429967,-0.317210778395461,0.27860839547384,-0.293024256317926,0.344692330079243,0.311478008067436,-0.121980475523465,0.0564021609744811,0.0334923309902364,-0.188935894309681
"ENSG00000005238","ENSG00000005238",80256,"FAM214B","9",35104109,35116338,"pink","CD8",0.256913505653972,0.291088924404916,0.00648546783871497,0.0492767621445635,-0.397867595902137,0.374585587060709,-0.409871820980738,0.517591891904297,0.450090372463125,-0.10899135697791,0.0122275983620173,0.0401906739356571,-0.167769570809628
"ENSG00000005243","ENSG00000005243",51226,"COPZ2","17",46103533,46115392,"grey","CD0",-0.199292300016817,0.327374310411686,0.0820526989990466,0.301886924690521,-0.434905901520367,0.249690614576717,-0.253590522226518,0.174333577483782,0.118208172842325,-0.368160964230887,0.197060603252158,0.370316785162782,-0.432464756282656
"ENSG00000005249","ENSG00000005249",5577,"PRKAR2B","7",106685094,106802256,"green","CD5",0.240889968148162,-0.344575277642141,-0.246001519096744,-0.290532159748521,0.625134145167551,-0.337516882627157,0.394734875393463,-0.241162478980508,-0.193360148417672,0.422046261206527,-0.192701462712906,-0.19674241559099,0.589708474199635
"ENSG00000005302","ENSG00000005302",10943,"MSL3","X",11776278,11793870,"grey","CD0",0.326318951838787,-0.246158815002697,-0.196087147309945,-0.278651979502385,0.441690626238777,-0.124017352382829,0.201809075797783,-0.00315864811322197,0.0019206713963745,0.437198516654366,-0.0511535851179669,-0.0470934732297141,0.465105547479389
"ENSG00000005339","ENSG00000005339",1387,"CREBBP","16",3775055,3930727,"grey","CD0",-0.0815576383990133,-0.19395141528106,0.0533486081069599,0.195437804482304,0.0822028028891721,-0.20220718697692,0.242815787951681,-0.147513470952155,-0.0148927397401016,-0.15010305627419,-0.0223616899861043,0.0330706440188602,0.0252397479514679
"ENSG00000005381","ENSG00000005381",4353,"MPO","17",56347217,56358296,"grey","CD0",0.158551060232988,0.296644599805537,-0.256262052721599,-0.13683832032786,-0.0817647648859806,0.20393987290623,-0.313717827489471,0.199753963355459,0.0247666187946067,0.0698116511608812,-0.0778129416483601,0.0404586252087117,0.0731998793938195
"ENSG00000005421","ENSG00000005421",5444,"PON1","7",94926988,95025673,"blue","CD2",-0.153569774513264,0.452932641712923,-0.0701154298231448,0.145089610542599,-0.367446159770345,0.323687729325213,-0.325501208531288,0.187869340910553,-0.0204765926024129,-0.297518413640137,0.0466836486748014,0.0576375024724129,-0.290727694212543
"ENSG00000005436","ENSG00000005436",6936,"GCFC2","2",75879126,75938115,"grey","CD0",0.0194978774947841,-0.137531223077154,0.137002453619419,-0.0615260259220108,0.182543031495404,-0.282316180793497,0.212033894010734,-0.184325570379082,-0.0545314140528828,0.131060768643051,-0.0793482714642364,-0.0505870413041308,0.0777023726636783
"ENSG00000005469","ENSG00000005469",54677,"CROT","7",86974997,87029111,"grey","CD0",0.106465222582715,-0.109086563052853,-0.0607250658218848,0.0374508180833811,0.0927970256457054,-0.184020007583887,0.1236128985045,-0.0698686207450734,0.0436584313646303,0.0602149493735161,-0.00118236498057228,0.109179992128186,0.148877113178206
"ENSG00000005471","ENSG00000005471",5244,"ABCB4","7",87031013,87109751,"tan","CD12",-0.0117694404911715,-0.100948107812129,0.163985533023636,0.072321821599482,-0.0360797678916167,0.0536820553379839,0.067596614867123,0.0898561396047258,0.150259775634011,-0.0417174033308122,0.143916554939987,0.410448473619542,-0.0898322091854981
