# ALPHA = 0.05
# TOT_SETS = 14


# _SET1_ SET = blue
# _SET1_ NGENES = 1012
# _SET1_ P = 0.00311838
_SET1_     GENE              CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P
_SET1_     ENSG00000117425     1   45285516   45308735     72      14  23347       1.6042     0.054339
_SET1_     ENSG00000117472     1   46640745   46651630     21       7  23347     -0.10657      0.54243
_SET1_     ENSG00000085999     1   46713360   46744145     47      17  23347      0.73985       0.2297
_SET1_     ENSG00000142973     1   47223510   47285085    213      37  23347      0.44523      0.32808
_SET1_     ENSG00000162366     1   47649265   47656716     17       9  23347     0.095912       0.4618
_SET1_     ENSG00000162367     1   47681962   47697892     41      11  23347     0.026029      0.48962
_SET1_     ENSG00000186790     1   47881744   47883723      5       3  23347      -2.1212      0.98305
_SET1_     ENSG00000186564     1   47901689   47906363      9       4  23347        -1.19      0.88298
_SET1_     ENSG00000162383     1   53552855   53608289    334      42  23347       0.1936      0.42324
_SET1_     ENSG00000006555     1   55245385   55266940     74      15  23347       2.0686     0.019291
_SET1_     ENSG00000157131     1   57320479   57383894    288      32  23347      -1.0838      0.86077
_SET1_     ENSG00000021852     1   57394883   57431813    144      30  23347       1.8558     0.031741
_SET1_     ENSG00000055732     1   85483765   85514182     73      17  23347       1.3894     0.082351
_SET1_     ENSG00000016490     1   86934051   86965972    136      31  23347      -1.4453      0.92581
_SET1_     ENSG00000162676     1   92940319   92952433     35      11  23347       1.5276     0.063306
_SET1_     ENSG00000198691     1   94458393   94586688    517      80  23347     0.076336      0.46958
_SET1_     ENSG00000198758     1  110292702  110306649     49      16  23347      0.55465      0.28957
_SET1_     ENSG00000134216     1  111833484  111863188    236      22  23347      0.74571      0.22792
_SET1_     ENSG00000116748     1  115215719  115238239     75      22  23347     -0.87113      0.80816
_SET1_     ENSG00000116824     1  117297007  117311850     47      14  23347      0.11265      0.45515
_SET1_     ENSG00000134258     1  117686209  117753556    240      39  23347      0.71183      0.23828
_SET1_     ENSG00000203857     1  120049821  120057681     11       4  23347      0.47011      0.31914
_SET1_     ENSG00000134240     1  120290619  120311528     53      12  23347        1.663     0.048159
_SET1_     ENSG00000117281     1  145695798  145715614     28       5  23347       2.5942    0.0047405
_SET1_     ENSG00000143382     1  150521884  150533413     26       9  23347       2.8604    0.0021156
_SET1_     ENSG00000143412     1  150954493  150968110     39      11  23347       1.3929     0.081831
_SET1_     ENSG00000143365     1  151778547  151804348     71      19  23347       3.3243    0.0004432
_SET1_     ENSG00000143536     1  152381719  152386739      7       2  23347      0.70322      0.24096
_SET1_     ENSG00000163206     1  152850793  152857523     10       5  23347     -0.67754      0.75097
_SET1_     ENSG00000163207     1  152881021  152884362     20       3  23347      -0.6565      0.74425
_SET1_     ENSG00000169474     1  152956557  152958289      8       2  23347     -0.85068      0.80253
_SET1_     ENSG00000163209     1  152974223  152976332     23       2  23347     -0.70734      0.76032
_SET1_     ENSG00000169469     1  153003678  153005376     18       1  23347         -1.1      0.86433
_SET1_     ENSG00000163216     1  153012201  153014407      8       2  23347      -1.1805      0.88109
_SET1_     ENSG00000163218     1  153302596  153321316     93       9  23347     -0.53206      0.70266
_SET1_     ENSG00000196420     1  153509623  153514241     14       5  23347      0.21021      0.41675
_SET1_     ENSG00000132677     1  156339003  156355011     70      16  23347     -0.28688       0.6129
_SET1_     ENSG00000027869     1  156776035  156786654     23       8  23347       1.0852      0.13892
_SET1_     ENSG00000027644     1  156809855  156828810     30      14  23347       1.1742      0.12015
_SET1_     ENSG00000158477     1  158223927  158228059     17       6  23347       1.3715     0.085114
_SET1_     ENSG00000158481     1  158259576  158263420      3       2  23347     -0.80131      0.78852
_SET1_     ENSG00000158485     1  158297741  158301321     11       6  23347     -0.78592      0.78404
_SET1_     ENSG00000163564     1  158900586  158946844    145      26  23347       1.5238      0.06378
_SET1_     ENSG00000163568     1  159032274  159116886    226      36  23347      -1.1206      0.86876
_SET1_     ENSG00000196184     1  159409512  159410600      7       4  23347      0.43529      0.33168
_SET1_     ENSG00000158714     1  159796540  159807039     39      13  23347      0.54447      0.29306
_SET1_     ENSG00000171786     1  160336857  160342638     15       5  23347       1.3278     0.092121
_SET1_     ENSG00000117090     1  160577890  160617085    147      30  23347     -0.67486      0.75012
_SET1_     ENSG00000117091     1  160648536  160681641    181      28  23347       2.1263      0.01674
_SET1_     ENSG00000122224     1  160765864  160798051    101      12  23347       2.0733     0.019072
_SET1_     ENSG00000122223     1  160799950  160832692    118      13  23347       4.0625   2.4273e-05
_SET1_     ENSG00000143257     1  161199456  161208092     34      12  23347        2.105     0.017647
_SET1_     ENSG00000158887     1  161274525  161279762     12       4  23347       2.1894     0.014285
_SET1_     ENSG00000143167     1  167022073  167059868    130      26  23347      0.72916      0.23295
_SET1_     ENSG00000143178     1  168250278  168283664    118      26  23347      0.33634      0.36831
_SET1_     ENSG00000174175     1  169558087  169599431    158      35  23347       2.4098    0.0079796
_SET1_     ENSG00000010932     1  171217638  171255117    140      32  23347      -1.0737      0.85853
_SET1_     ENSG00000034971     1  171604557  171621823     81      14  23347      -2.2023      0.98618
_SET1_     ENSG00000180999     1  172389828  172437971    153      23  23347      0.40851      0.34145
_SET1_     ENSG00000120337     1  173009100  173020103     32       7  23347       1.5863      0.05634
_SET1_     ENSG00000116183     1  176432307  176814735    967      41  23347      0.11891      0.45267
_SET1_     ENSG00000116218     1  179519674  179545087    120      18  23347      -1.0025      0.84194
_SET1_     ENSG00000058085     1  183155373  183214035    243      18  23347     -0.14125      0.55616
_SET1_     ENSG00000116785     1  196743925  196763203    102       5  23347     -0.58818      0.72179
_SET1_     ENSG00000163362     1  200860176  200884863     94      25  23347       7.6938    7.144e-15
_SET1_     ENSG00000081248     1  201008642  201081694    315      53  23347       5.5518   1.4138e-08
_SET1_     ENSG00000081277     1  201252580  201302121    247      19  23347     0.083529      0.46672
_SET1_     ENSG00000159166     1  201342372  201368736    116      23  23347      0.28606      0.38742
_SET1_     ENSG00000143851     1  202116141  202130716     56      24  23347     -0.74121      0.77072
_SET1_     ENSG00000133055     1  203136939  203144941     24       8  23347   -0.0070467      0.50281
_SET1_     ENSG00000143839     1  204123944  204135465     47      12  23347       1.0305       0.1514
_SET1_     ENSG00000198049     1  206223976  206231639     48       7  23347       2.2688      0.01164
_SET1_     ENSG00000196533     1  206238872  206288647    140      22  23347       1.2503      0.10559
_SET1_     ENSG00000196188     1  206317459  206332104     26       4  23347      0.71059      0.23867
_SET1_     ENSG00000143466     1  206643791  206670223    108      27  23347       3.8557    5.769e-05
_SET1_     ENSG00000142224     1  206972215  207016324    150      27  23347       3.0737     0.001057
_SET1_     ENSG00000162892     1  207070788  207077484     18       5  23347       3.4262   0.00030606
_SET1_     ENSG00000162894     1  207077731  207096592     36       9  23347       3.6527   0.00012977
_SET1_     ENSG00000162896     1  207101863  207119811     50      12  23347       1.1701      0.12097
_SET1_     ENSG00000182795     1  207191866  207206101     17      10  23347       2.6167    0.0044391
_SET1_     ENSG00000123843     1  207262187  207273338     23       7  23347     -0.75871      0.77599
_SET1_     ENSG00000123838     1  207277607  207318317    126      23  23347      0.56192      0.28709
_SET1_     ENSG00000117595     1  209959036  209979465     65      10  23347        3.761   8.4623e-05
_SET1_     ENSG00000143494     1  213123862  213165379    145      28  23347      0.26353      0.39607
_SET1_     ENSG00000143512     1  222695602  222721445    123      12  23347     -0.27296      0.60756
_SET1_     ENSG00000143768     1  226124298  226129189      6       3  23347     -0.90737      0.81789
_SET1_     ENSG00000171848     2   10262455   10271545     19       6  23347      -1.6772      0.95324
_SET1_     ENSG00000115884     2   20400558   20425194     94      19  23347     -0.56701      0.71465
_SET1_     ENSG00000084674     2   21224301   21266945     88      28  23347     -0.18054      0.57164
_SET1_     ENSG00000115163     2   26987157   27023935     89      12  23347       2.0769     0.018906
_SET1_     ENSG00000158125     2   31557187   31637581    320      47  23347      0.40951      0.34108
_SET1_     ENSG00000162882     2   42994229   43019733    145      17  23347      0.59337      0.27647
_SET1_     ENSG00000138083     2   45168902   45173216     17       6  23347      0.58791       0.2783
_SET1_     ENSG00000170577     2   45232300   45236569     12       6  23347      -2.1634      0.98474
_SET1_     ENSG00000170820     2   49189296   49381676    890      39  23347     -0.31099      0.62209
_SET1_     ENSG00000163217     2   69092613   69098649     16       6  23347       2.3104     0.010432
_SET1_     ENSG00000116031     2   71057347   71062952     34       9  23347       1.6212     0.052487
_SET1_     ENSG00000204872     2   73927754   73928432      7       3  23347        0.167      0.43368
_SET1_     ENSG00000168878     2   85884437   85895864     24      11  23347      -1.4835      0.93104
_SET1_     ENSG00000121152     2   97001525   97039583     69      22  23347     -0.39298      0.65283
_SET1_     ENSG00000115590     2  102608306  102645006    158      14  23347       3.4908   0.00024079
_SET1_     ENSG00000115607     2  103035149  103069025    164      20  23347       5.6974   6.0811e-09
_SET1_     ENSG00000115665     2  108602979  108630450     89      30  23347       1.3399     0.090142
_SET1_     ENSG00000198203     2  108905095  108926371     71      17  23347      0.96014      0.16849
_SET1_     ENSG00000135960     2  109510927  109605828    394      32  23347      -1.5891      0.94398
_SET1_     ENSG00000153094     2  111876955  111926024    127      24  23347       2.8582    0.0021304
_SET1_     ENSG00000125571     2  113670548  113676459     46       3  23347      -1.1907      0.88311
_SET1_     ENSG00000136694     2  113763038  113765621      7       3  23347      0.21317       0.4156
_SET1_     ENSG00000136695     2  113816215  113822959     50       4  23347       2.1402     0.016171
_SET1_     ENSG00000136689     2  113864791  113891593    129      12  23347      -0.5098      0.69491
_SET1_     ENSG00000125618     2  113973574  114036527    239      23  23347       1.9437     0.025967
_SET1_     ENSG00000175509     2  114425055  114426198      9       4  23347      -1.5771      0.94261
_SET1_     ENSG00000080293     2  120197419  120282070    391      33  23347     -0.20068      0.57952
_SET1_     ENSG00000115112     2  121974163  122042783    219      27  23347      0.34202      0.36617
_SET1_     ENSG00000176601     2  135722061  135805038    273      25  23347        1.056      0.14548
_SET1_     ENSG00000115850     2  136545410  136594750    140      17  23347     -0.26758      0.60549
_SET1_     ENSG00000152254     2  169757750  169766505     21       8  23347      -1.9682      0.97548
_SET1_     ENSG00000128709     2  176987088  176989853      7       3  23347     -0.56191      0.71291
_SET1_     ENSG00000128652     2  177001340  177037830     90      17  23347       1.3882     0.082542
_SET1_     ENSG00000138356     2  201450591  201541787    320      37  23347       1.2024      0.11461
_SET1_     ENSG00000003400     2  202047604  202094129     88      13  23347      0.20906       0.4172
_SET1_     ENSG00000163599     2  204732509  204738683      9       5  23347      0.72244      0.23501
_SET1_     ENSG00000168582     2  209025464  209028300     12       3  23347     -0.25662      0.60126
_SET1_     ENSG00000168530     2  211154874  211179914     63      10  23347        1.564     0.058903
_SET1_     ENSG00000163464     2  219027568  219031718      5       2  23347       1.5755     0.057573
_SET1_     ENSG00000127831     2  219283815  219318018     60      11  23347     -0.24552      0.59697
_SET1_     ENSG00000163497     2  219845809  219850379      6       2  23347      -1.3729      0.91511
_SET1_     ENSG00000163501     2  219919142  219925189     14       4  23347      -0.0713      0.52842
_SET1_     ENSG00000123999     2  220433884  220440435     18       8  23347      -0.1434      0.55701
_SET1_     ENSG00000135903     2  223064607  223163715    357      42  23347     -0.20129      0.57977
_SET1_     ENSG00000135902     2  233390703  233401377     34       9  23347      0.87729      0.19016
_SET1_     ENSG00000130561     2  234216462  234255701    172      27  23347       6.4965   4.1114e-11
_SET1_     ENSG00000241635     2  234526291  234681956    620      37  23347     0.075028       0.4701
_SET1_     ENSG00000123485     2  234742062  234763212     83      13  23347     -0.69518      0.75653
_SET1_     ENSG00000115648     2  238394071  238463961    422      23  23347     -0.33662       0.6318
_SET1_     ENSG00000178623     2  241544848  241570676    145      47  23347       5.6575   7.6813e-09
_SET1_     ENSG00000172482     2  241807896  241819919     53      11  23347      -0.2909      0.61444
_SET1_     ENSG00000172478     2  241825465  241836306     98       8  23347     -0.82344      0.79487
_SET1_     ENSG00000091181     3    3111233    3168297    340      81  23347        1.183       0.1184
_SET1_     ENSG00000125046     3    8661086    8786726    700     116  23347      0.25461      0.39951
_SET1_     ENSG00000182533     3    8775486    8883492    562      64  23347     -0.20631      0.58173
_SET1_     ENSG00000187288     3    9908398    9921938     43      11  23347      -0.7433      0.77135
_SET1_     ENSG00000163702     3    9958758    9975314     55      22  23347      0.84793      0.19824
_SET1_     ENSG00000144596     3   14530619   14583588    239      26  23347      -1.2138      0.88759
_SET1_     ENSG00000092345     3   16628299   16711813    417      50  23347      -1.2846      0.90054
_SET1_     ENSG00000183813     3   32993066   32997841     11       3  23347     0.045348      0.48192
_SET1_     ENSG00000144681     3   36421836   36589499    788      44  23347      0.95461      0.16989
_SET1_     ENSG00000008226     3   38080696   38165516    278      20  23347      -1.3659      0.91402
_SET1_     ENSG00000144671     3   38323785   38360066    201      14  23347      -0.7329      0.76819
_SET1_     ENSG00000185313     3   38738293   38835501    393      35  23347      0.77385      0.21951
_SET1_     ENSG00000144648     3   42846244   42929466    246      24  23347     -0.99648      0.84049
_SET1_     ENSG00000163810     3   44916100   44956482    202      16  23347      0.17011      0.43246
_SET1_     ENSG00000163814     3   45123770   45187914    274      75  23347      0.62546      0.26583
_SET1_     ENSG00000144791     3   45596886   45727830    553      33  23347      -1.3232      0.90712
_SET1_     ENSG00000172215     3   45982425   45989845     19       6  23347      0.68984      0.24515
_SET1_     ENSG00000173578     3   46058516   46069234     27       3  23347     -0.61864      0.73192
_SET1_     ENSG00000183625     3   46205096   46308197    334      19  23347     0.017004      0.49322
_SET1_     ENSG00000160791     3   46411633   46417697     20       5  23347      -0.1818      0.57213
_SET1_     ENSG00000178038     3   46710487   46735194     98      17  23347     -0.35184      0.63752
_SET1_     ENSG00000164047     3   48264837   48266981      1       1  23347       1.8632      0.03122
_SET1_     ENSG00000164078     3   49924435   49941299     31       8  23347       6.0732   6.2707e-10
_SET1_     ENSG00000114349     3   50229045   50233949      3       1  23347       4.0784   2.2673e-05
_SET1_     ENSG00000114737     3   50643921   50649262     12       5  23347       2.1133     0.017289
_SET1_     ENSG00000144771     3   54952264   55001115    156      26  23347       1.3211     0.093226
_SET1_     ENSG00000163687     3   58177984   58200424     88      16  23347     -0.96276      0.83217
_SET1_     ENSG00000154165     3   98250743   98251960      3       2  23347       0.8011      0.21154
_SET1_     ENSG00000177494     3  111311747  111314290      6       3  23347     -0.34511      0.63499
_SET1_     ENSG00000151577     3  113847499  113918254    236      25  23347       1.6812     0.046359
_SET1_     ENSG00000114638     3  118892364  118924000    133      32  23347     -0.34668      0.63558
_SET1_     ENSG00000121594     3  119243140  119278449    134      29  23347    -0.023314       0.5093
_SET1_     ENSG00000144852     3  119499331  119537332    158      32  23347     -0.65128      0.74257
_SET1_     ENSG00000051341     3  121150278  121264853    292      23  23347     -0.67587      0.75044
_SET1_     ENSG00000036828     3  121902530  122005342    465      28  23347      0.31973      0.37459
_SET1_     ENSG00000198685     3  128290843  128294929     25      10  23347     -0.96261      0.83213
_SET1_     ENSG00000114654     3  128720472  128759585     97      18  23347     -0.47874      0.68394
_SET1_     ENSG00000169704     3  128779610  128781249      3       2  23347       1.3377      0.09049
_SET1_     ENSG00000163914     3  129247483  129254012     19       6  23347     -0.16263      0.56459
_SET1_     ENSG00000170893     3  129693148  129696781     10       4  23347     -0.52298      0.69951
_SET1_     ENSG00000170819     3  133118839  133194066    331      41  23347      -1.0587      0.85514
_SET1_     ENSG00000221972     3  133646992  133648656      3       2  23347     -0.17937      0.57118
_SET1_     ENSG00000066405     3  137717577  137752494     78      13  23347       1.1097      0.13357
_SET1_     ENSG00000118017     3  137842560  137851229     22       5  23347     -0.66142      0.74583
_SET1_     ENSG00000163746     3  146109208  146213778    354      18  23347     -0.33786      0.63227
_SET1_     ENSG00000174963     3  147103833  147124647     43      14  23347      0.74748      0.22739
_SET1_     ENSG00000163751     3  148583043  148614983    107      17  23347      -0.7313       0.7677
_SET1_     ENSG00000169903     3  149191761  149221068    214      16  23347     -0.69415      0.75621
_SET1_     ENSG00000196549     3  154741913  154901497    502      58  23347   -0.0097214      0.50388
_SET1_     ENSG00000168779     3  157814948  157824292     32       5  23347     -0.56233      0.71305
_SET1_     ENSG00000090534     3  184089723  184095932     22       8  23347       1.6877     0.045738
_SET1_     ENSG00000113905     3  186378005  186396029     96      20  23347       1.5382     0.061995
_SET1_     ENSG00000073282     3  189349205  189615068   1199     129  23347     -0.86476      0.80641
_SET1_     ENSG00000178772     3  194060494  194072057    110      16  23347    -0.065686      0.52619
_SET1_     ENSG00000172061     3  194075976  194090472    116      10  23347     -0.14325      0.55695
_SET1_     ENSG00000145113     3  195473636  195539148    342      33  23347     -0.83171      0.79721
_SET1_     ENSG00000109758     4    3443614    3451211     39      15  23347       3.9539   3.8443e-05
_SET1_     ENSG00000155269     4    8560452    8621486    502      61  23347     -0.15679       0.5623
_SET1_     ENSG00000109667     4    9772777   10056560   1420      35  23347    -0.081956      0.53266
_SET1_     ENSG00000109705     4   13542454   13546674      9       6  23347    -0.063507      0.52532
_SET1_     ENSG00000137440     4   15937192   15940363     10       4  23347       1.1625      0.12251
_SET1_     ENSG00000157765     4   25656923   25680370     66      25  23347     -0.31151      0.62229
_SET1_     ENSG00000163394     4   26483022   26492084     30       8  23347       1.2664      0.10268
_SET1_     ENSG00000168421     4   40192673   40248587    211      37  23347     -0.94717      0.82822
_SET1_     ENSG00000174343     4   40337346   40357234    122      13  23347       1.6252     0.052065
_SET1_     ENSG00000135605     4   48137800   48271881    552      44  23347       1.1033      0.13494
_SET1_     ENSG00000153802     4   68686594   68749750    182      29  23347     -0.22448      0.58881
_SET1_     ENSG00000135222     4   70820974   70826725     15       5  23347      0.85398      0.19656
_SET1_     ENSG00000126549     4   70861647   70868287     18      10  23347     0.061242      0.47558
_SET1_     ENSG00000171209     4   71108305   71117145     69       5  23347      -0.4721      0.68157
_SET1_     ENSG00000109208     4   71226478   71232875     42      10  23347     -0.59721      0.72482
_SET1_     ENSG00000171201     4   71235810   71255961    117      14  23347     -0.64005      0.73893
_SET1_     ENSG00000171199     4   71263599   71275911     49      12  23347     0.058327      0.47674
_SET1_     ENSG00000178522     4   71457973   71473005     63      18  23347      -1.2459      0.89359
_SET1_     ENSG00000138755     4   76922428   76928641     13       6  23347        1.774     0.038034
_SET1_     ENSG00000196475     4   80327508   80329372      1       1  23347      -2.6197       0.9956
_SET1_     ENSG00000172238     4   94750042   94751221      1       1  23347      0.20292       0.4196
_SET1_     ENSG00000172955     4  100123795  100140694     37       9  23347       1.4515     0.073323
_SET1_     ENSG00000070190     4  100737990  100791311    225      26  23347     -0.57639      0.71783
_SET1_     ENSG00000153064     4  102332443  102995969   2348     106  23347       4.2469   1.0838e-05
_SET1_     ENSG00000169836     4  104507188  104640973    518      40  23347      -0.6647      0.74688
_SET1_     ENSG00000236699     4  106473777  106629250    497      46  23347      0.69833      0.24249
_SET1_     ENSG00000151014     4  139936943  139966906     73      24  23347      0.33332      0.36945
_SET1_     ENSG00000171560     4  155504278  155511918     14       8  23347     -0.14246      0.55664
_SET1_     ENSG00000168594     4  175750819  175899331    767      28  23347     -0.51355      0.69622
_SET1_     ENSG00000109674     4  178230990  178284097    215      38  23347       1.5741     0.057731
_SET1_     ENSG00000168412     4  187454809  187476721     91      21  23347      0.58573      0.27903
_SET1_     ENSG00000066230     5     473425     524447    384      45  23347       1.4586     0.072339
_SET1_     ENSG00000169777     5    9629109    9712490    306      41  23347      0.63068      0.26412
_SET1_     ENSG00000164256     5   23507264   23528706     47      18  23347      0.79332       0.2138
_SET1_     ENSG00000151388     5   33523640   33892297   1397      84  23347       1.1956      0.11593
_SET1_     ENSG00000182631     5   33936491   33939023      2       1  23347       1.5959     0.055257
_SET1_     ENSG00000164175     5   33944721   33984835     96      19  23347       1.2666      0.10265
_SET1_     ENSG00000168685     5   35852797   35879705    101      11  23347       1.4529     0.073124
_SET1_     ENSG00000168621     5   37812779   37839788     95      22  23347       1.6109     0.053606
_SET1_     ENSG00000039537     5   41142336   41261540    447      35  23347    -0.065751      0.52621
_SET1_     ENSG00000134363     5   52776239   52782964     19      10  23347     -0.63709      0.73797
_SET1_     ENSG00000113088     5   54320081   54330398     33      12  23347       1.1994      0.11519
_SET1_     ENSG00000164251     5   76114758   76131140     49      12  23347     -0.10334      0.54115
_SET1_     ENSG00000164399     5  131396222  131398897      6       2  23347      0.93581      0.17469
_SET1_     ENSG00000164400     5  131409483  131411859      6       3  23347       4.4641   4.0209e-06
_SET1_     ENSG00000145826     5  135257968  135290723    165      24  23347      0.38772      0.34911
_SET1_     ENSG00000226306     5  137136882  137146440      9       4  23347    -0.098579      0.53926
_SET1_     ENSG00000146013     5  137588068  137610360     57      19  23347      -1.0883      0.86176
_SET1_     ENSG00000204969     5  140174444  140391929    539      27  23347      -1.3448      0.91066
_SET1_     ENSG00000171815     5  140430979  140433512      4       2  23347     -0.67294      0.74951
_SET1_     ENSG00000133710     5  147405246  147516852    587      17  23347      -1.1255      0.86981
_SET1_     ENSG00000132915     5  149237519  149324356    306      47  23347     -0.21638      0.58566
_SET1_     ENSG00000113722     5  149546358  149564120     37      10  23347      0.99247      0.16048
_SET1_     ENSG00000113196     5  153854532  153857824     10       6  23347       1.1903      0.11696
_SET1_     ENSG00000072571     5  162887209  162918947    100      18  23347      0.25488      0.39941
_SET1_     ENSG00000168269     5  169532901  169536727     22       9  23347     -0.21142      0.58372
_SET1_     ENSG00000164438     5  170736288  170739138      4       2  23347     -0.26846      0.60583
_SET1_     ENSG00000183072     5  172659112  172662360      6       3  23347     -0.73698      0.76943
_SET1_     ENSG00000160867     5  176513887  176525145     40      11  23347       1.4019     0.080475
_SET1_     ENSG00000213347     5  176728462  176739758     26      10  23347        1.958     0.025112
_SET1_     ENSG00000131183     5  176806236  176825849     45      12  23347       2.2254     0.013028
_SET1_     ENSG00000198055     5  176830205  176869902     99      32  23347      0.62072      0.26739
_SET1_     ENSG00000146094     5  176928908  176938275     26      10  23347       1.3064      0.09571
_SET1_     ENSG00000175325     5  177419236  177423243     17       7  23347      -1.0887      0.86185
_SET1_     ENSG00000113262     5  178405328  178423207    127      19  23347     -0.42226      0.66358
_SET1_     ENSG00000087116     5  178537852  178772431   1193     154  23347     -0.72967       0.7672
_SET1_     ENSG00000113303     5  180326077  180377906    202      14  23347      -1.1269      0.87011
_SET1_     ENSG00000168903     5  180415845  180433727     47      12  23347      0.22712      0.41016
_SET1_     ENSG00000137265     6     391739     411447     81      21  23347      -0.6693      0.74835
_SET1_     ENSG00000137203     6   10393419   10419892     51      14  23347      0.19622      0.42222
_SET1_     ENSG00000172179     6   22287480   22297730     33      12  23347       1.7924     0.036533
_SET1_     ENSG00000146039     6   25754927   25781419    136      24  23347     -0.27807      0.60952
_SET1_     ENSG00000124568     6   25783125   25832287    180      23  23347     -0.54105      0.70576
_SET1_     ENSG00000124564     6   25833294   25882514    171      25  23347     -0.40942      0.65888
_SET1_     ENSG00000010704     6   26087509   26098571     34      13  23347      0.50459      0.30692
_SET1_     ENSG00000124549     6   26421619   26432611     53       4  23347     -0.88712      0.81249
_SET1_     ENSG00000124557     6   26501449   26510650     26       6  23347     -0.56519      0.71403
_SET1_     ENSG00000197153     6   27858093   27860884      9       3  23347      0.65356       0.2567
_SET1_     ENSG00000189298     6   28317691   28336947     79      18  23347       1.9401     0.026182
_SET1_     ENSG00000224586     6   28493702   28502729     32      10  23347       2.8317    0.0023147
_SET1_     ENSG00000204701     6   29079668   29080603      5       2  23347    -0.019601      0.50782
_SET1_     ENSG00000112462     6   29341200   29343068     11       4  23347      0.69313      0.24411
