"","m","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection"
"35","yellow",1,TRUE,0.0227,1727,781,156,0.2,0.09,"GO:0031324","BP",53,"negative regulation of cellular metabolic process",1,"ENSG00000004468,ENSG00000007372,ENSG00000010810,ENSG00000011201,ENSG00000011304,ENSG00000018408,ENSG00000030419,ENSG00000046889,ENSG00000047644,ENSG00000053254,ENSG00000055208,ENSG00000064961,ENSG00000065135,ENSG00000066027,ENSG00000070756,ENSG00000072778,ENSG00000073792,ENSG00000075188,ENSG00000076555,ENSG00000077942,ENSG00000078401,ENSG00000084207,ENSG00000092820,ENSG00000092969,ENSG00000093010,ENSG00000100100,ENSG00000100105,ENSG00000100234,ENSG00000100300,ENSG00000100644,ENSG00000101144,ENSG00000101400,ENSG00000101439,ENSG00000101849,ENSG00000102580,ENSG00000102935,ENSG00000104447,ENSG00000104517,ENSG00000105852,ENSG00000106211,ENSG00000106571,ENSG00000106624,ENSG00000106804,ENSG00000108854,ENSG00000109062,ENSG00000109501,ENSG00000111875,ENSG00000112079,ENSG00000112312,ENSG00000112333,ENSG00000112715,ENSG00000112977,ENSG00000113645,ENSG00000113916,ENSG00000114166,ENSG00000114315,ENSG00000115461,ENSG00000116132,ENSG00000116478,ENSG00000117318,ENSG00000117713,ENSG00000120885,ENSG00000123080,ENSG00000124570,ENSG00000124782,ENSG00000125398,ENSG00000125968,ENSG00000130203,ENSG00000130303,ENSG00000130988,ENSG00000132541,ENSG00000133789,ENSG00000134138,ENSG00000135272,ENSG00000135744,ENSG00000135919,ENSG00000136160,ENSG00000136869,ENSG00000137486,ENSG00000137693,ENSG00000138448,ENSG00000138668,ENSG00000139352,ENSG00000139644,ENSG00000140455,ENSG00000141232,ENSG00000141510,ENSG00000142611,ENSG00000143190,ENSG00000143384,ENSG00000144579,ENSG00000144677,ENSG00000146648,ENSG00000147421,ENSG00000147475,ENSG00000147862,ENSG00000148400,ENSG00000148411,ENSG00000148498,ENSG00000148730,ENSG00000148737,ENSG00000150907,ENSG00000151929,ENSG00000152518,ENSG00000152661,ENSG00000152767,ENSG00000154229,ENSG00000157240,ENSG00000160213,ENSG00000160678,ENSG00000162407,ENSG00000163083,ENSG00000163346,ENSG00000163884,ENSG00000164056,ENSG00000164104,ENSG00000164190,ENSG00000165795,ENSG00000165821,ENSG00000166925,ENSG00000167693,ENSG00000168209,ENSG00000168610,ENSG00000169756,ENSG00000170275,ENSG00000171100,ENSG00000171791,ENSG00000171940,ENSG00000172201,ENSG00000173039,ENSG00000173334,ENSG00000173402,ENSG00000174306,ENSG00000175215,ENSG00000178764,ENSG00000180447,ENSG00000181449,ENSG00000181722,ENSG00000183864,ENSG00000185043,ENSG00000185650,ENSG00000185920,ENSG00000186153,ENSG00000186350,ENSG00000186951,ENSG00000187837,ENSG00000196139,ENSG00000196781,ENSG00000197724,ENSG00000198914,ENSG00000204264,ENSG00000205213,ENSG00000223802,ENSG00000240583,ENSG00000254087,ENSG00000256683"
"85","yellow",1,TRUE,0.0229,315,781,38,0.049,0.121,"GO:0015711","BP",42,"organic anion transport",1,"ENSG00000003989,ENSG00000018625,ENSG00000074410,ENSG00000076555,ENSG00000078401,ENSG00000080493,ENSG00000109062,ENSG00000110090,ENSG00000110436,ENSG00000115902,ENSG00000117394,ENSG00000127472,ENSG00000130203,ENSG00000130876,ENSG00000131626,ENSG00000132164,ENSG00000134548,ENSG00000135744,ENSG00000139155,ENSG00000141179,ENSG00000145246,ENSG00000147872,ENSG00000148053,ENSG00000151012,ENSG00000152661,ENSG00000154217,ENSG00000157103,ENSG00000157184,ENSG00000165029,ENSG00000168003,ENSG00000173208,ENSG00000177807,ENSG00000178537,ENSG00000186350,ENSG00000186951,ENSG00000188338,ENSG00000197375,ENSG00000240583"
"100","yellow",1,TRUE,0.0251,349,781,41,0.052,0.117,"GO:0198738","BP",94,"cell-cell signaling by wnt",1,"ENSG00000018408,ENSG00000073712,ENSG00000076716,ENSG00000101849,ENSG00000104517,ENSG00000106571,ENSG00000107104,ENSG00000108375,ENSG00000108854,ENSG00000109062,ENSG00000109472,ENSG00000116478,ENSG00000116729,ENSG00000124479,ENSG00000125398,ENSG00000127603,ENSG00000130203,ENSG00000134569,ENSG00000135272,ENSG00000137693,ENSG00000148400,ENSG00000148737,ENSG00000150907,ENSG00000152284,ENSG00000154310,ENSG00000155760,ENSG00000156076,ENSG00000157240,ENSG00000161202,ENSG00000162407,ENSG00000165795,ENSG00000167693,ENSG00000171444,ENSG00000174804,ENSG00000180340,ENSG00000181449,ENSG00000184634,ENSG00000186153,ENSG00000196781,ENSG00000204264,ENSG00000205213"
"30","yellow",1,TRUE,0.0267,4,781,3,0.004,0.75,"GO:1901628","BP",152,"positive regulation of postsynaptic membrane organization",1,"ENSG00000105894,ENSG00000130203,ENSG00000134569"
"88","yellow",1,TRUE,0.0267,4,781,3,0.004,0.75,"GO:0060729","BP",148,"intestinal epithelial structure maintenance",1,"ENSG00000125398,ENSG00000136869,ENSG00000197375"
"102","yellow",1,TRUE,0.0267,4,781,3,0.004,0.75,"GO:0003150","BP",96,"muscular septum morphogenesis",1,"ENSG00000069702,ENSG00000157240,ENSG00000180340"
"130","yellow",1,TRUE,0.0267,4,781,3,0.004,0.75,"GO:0016717","MF",79,"oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water",1,"ENSG00000134824,ENSG00000145284,ENSG00000149485"
"132","yellow",1,TRUE,0.0267,4,781,3,0.004,0.75,"GO:0004046","MF",61,"aminoacylase activity",1,"ENSG00000115866,ENSG00000121691,ENSG00000243989"
"140","yellow",1,TRUE,0.0267,4,781,3,0.004,0.75,"GO:0034481","MF",20,"chondroitin sulfotransferase activity",1,"ENSG00000122863,ENSG00000147119,ENSG00000171310"
"60","yellow",1,TRUE,0.0272,115,781,18,0.023,0.157,"GO:1905475","BP",4,"regulation of protein localization to membrane",1,"ENSG00000010810,ENSG00000066027,ENSG00000092820,ENSG00000095637,ENSG00000097033,ENSG00000105894,ENSG00000119729,ENSG00000131626,ENSG00000134569,ENSG00000135926,ENSG00000141510,ENSG00000141736,ENSG00000143514,ENSG00000146648,ENSG00000148175,ENSG00000150551,ENSG00000171791,ENSG00000185043"
"56","yellow",1,TRUE,0.0281,8,781,4,0.005,0.5,"GO:0003266","BP",138,"regulation of secondary heart field cardioblast proliferation",1,"ENSG00000104313,ENSG00000114315,ENSG00000148400,ENSG00000174021"
"103","yellow",1,TRUE,0.0281,8,781,4,0.005,0.5,"GO:0042045","BP",48,"epithelial fluid transport",1,"ENSG00000078401,ENSG00000136160,ENSG00000168710,ENSG00000240583"
"108","yellow",1,TRUE,0.0285,25,781,7,0.009,0.28,"GO:0008305","CC",101,"integrin complex",1,"ENSG00000082781,ENSG00000091409,ENSG00000105855,ENSG00000132470,ENSG00000135424,ENSG00000138448,ENSG00000254087"
"27","yellow",1,TRUE,0.0287,440,781,49,0.063,0.111,"GO:0030036","BP",93,"actin cytoskeleton organization",1,"ENSG00000042493,ENSG00000046653,ENSG00000071127,ENSG00000078114,ENSG00000078401,ENSG00000079337,ENSG00000079691,ENSG00000082781,ENSG00000083857,ENSG00000088280,ENSG00000092820,ENSG00000095637,ENSG00000101605,ENSG00000107104,ENSG00000109062,ENSG00000113657,ENSG00000113721,ENSG00000113916,ENSG00000115109,ENSG00000117519,ENSG00000119729,ENSG00000124145,ENSG00000125968,ENSG00000126016,ENSG00000128585,ENSG00000129116,ENSG00000130055,ENSG00000130303,ENSG00000131626,ENSG00000132970,ENSG00000133789,ENSG00000137076,ENSG00000137486,ENSG00000139734,ENSG00000148450,ENSG00000154310,ENSG00000154553,ENSG00000158195,ENSG00000164877,ENSG00000165458,ENSG00000169604,ENSG00000170989,ENSG00000171791,ENSG00000179604,ENSG00000180263,ENSG00000196091,ENSG00000198736,ENSG00000213853,ENSG00000240583"
"24","yellow",1,TRUE,0.0288,13,781,5,0.006,0.385,"GO:0050651","BP",41,"dermatan sulfate proteoglycan biosynthetic process",1,"ENSG00000111817,ENSG00000114646,ENSG00000130287,ENSG00000132692,ENSG00000147408"
"39","yellow",1,TRUE,0.0288,13,781,5,0.006,0.385,"GO:0031065","BP",139,"positive regulation of histone deacetylation",1,"ENSG00000112715,ENSG00000113916,ENSG00000141510,ENSG00000164190,ENSG00000184304"
"18","yellow",1,TRUE,0.0294,245,781,31,0.04,0.127,"GO:0006732","BP",49,"coenzyme metabolic process",1,"ENSG00000004468,ENSG00000004799,ENSG00000012660,ENSG00000076555,ENSG00000079739,ENSG00000100644,ENSG00000103740,ENSG00000105607,ENSG00000109107,ENSG00000124615,ENSG00000132840,ENSG00000135318,ENSG00000138413,ENSG00000144908,ENSG00000145284,ENSG00000155368,ENSG00000158467,ENSG00000159231,ENSG00000168209,ENSG00000168610,ENSG00000168710,ENSG00000169738,ENSG00000170525,ENSG00000171903,ENSG00000172340,ENSG00000179761,ENSG00000181192,ENSG00000182054,ENSG00000186951,ENSG00000197977,ENSG00000198805"
"34","yellow",1,TRUE,0.0296,154,781,22,0.028,0.143,"GO:2000021","BP",65,"regulation of ion homeostasis",1,"ENSG00000010810,ENSG00000018625,ENSG00000075142,ENSG00000078401,ENSG00000078549,ENSG00000093010,ENSG00000100300,ENSG00000123104,ENSG00000124181,ENSG00000134548,ENSG00000135744,ENSG00000136160,ENSG00000138685,ENSG00000139644,ENSG00000170385,ENSG00000171791,ENSG00000184304,ENSG00000186815,ENSG00000196218,ENSG00000198838,ENSG00000213366,ENSG00000254087"
"46","yellow",1,TRUE,0.0311,55,781,11,0.014,0.2,"GO:0046128","BP",7,"purine ribonucleoside metabolic process",1,"ENSG00000065135,ENSG00000076685,ENSG00000093072,ENSG00000119729,ENSG00000124615,ENSG00000135318,ENSG00000158467,ENSG00000162433,ENSG00000168710,ENSG00000180900,ENSG00000198805"
"112","yellow",1,TRUE,0.0312,375,781,43,0.055,0.115,"GO:0031012","CC",43,"extracellular matrix",1,"ENSG00000011201,ENSG00000026025,ENSG00000041982,ENSG00000049323,ENSG00000069702,ENSG00000076716,ENSG00000077942,ENSG00000084754,ENSG00000091409,ENSG00000092969,ENSG00000100234,ENSG00000101144,ENSG00000101439,ENSG00000105894,ENSG00000106211,ENSG00000106278,ENSG00000106538,ENSG00000106624,ENSG00000112715,ENSG00000113296,ENSG00000115380,ENSG00000120885,ENSG00000124479,ENSG00000127022,ENSG00000130203,ENSG00000130287,ENSG00000131981,ENSG00000132692,ENSG00000133048,ENSG00000135919,ENSG00000152583,ENSG00000163453,ENSG00000163638,ENSG00000164761,ENSG00000166033,ENSG00000166833,ENSG00000170275,ENSG00000172037,ENSG00000172638,ENSG00000173402,ENSG00000179399,ENSG00000186998,ENSG00000188313"
"81","yellow",1,TRUE,0.035,64,781,12,0.015,0.188,"GO:0016101","BP",21,"diterpenoid metabolic process",1,"ENSG00000076716,ENSG00000106538,ENSG00000114115,ENSG00000124145,ENSG00000130203,ENSG00000140522,ENSG00000146648,ENSG00000162496,ENSG00000165092,ENSG00000169439,ENSG00000179399,ENSG00000196139"
"128","yellow",1,TRUE,0.0365,137,781,20,0.026,0.146,"GO:0016829","MF",140,"lyase activity",1,"ENSG00000004468,ENSG00000074410,ENSG00000078295,ENSG00000083123,ENSG00000084754,ENSG00000109107,ENSG00000113790,ENSG00000121310,ENSG00000122729,ENSG00000124615,ENSG00000128050,ENSG00000135094,ENSG00000135821,ENSG00000135838,ENSG00000138029,ENSG00000160200,ENSG00000164089,ENSG00000166224,ENSG00000167969,ENSG00000170892"
"75","yellow",1,TRUE,0.0367,26,781,7,0.009,0.269,"GO:0017145","BP",137,"stem cell division",1,"ENSG00000018408,ENSG00000092969,ENSG00000134532,ENSG00000148400,ENSG00000152518,ENSG00000155760,ENSG00000167797"
"5","yellow",1,TRUE,0.0374,73,781,13,0.017,0.178,"GO:0014020","BP",115,"primary neural tube formation",1,"ENSG00000078246,ENSG00000092969,ENSG00000100644,ENSG00000101144,ENSG00000106689,ENSG00000117713,ENSG00000124145,ENSG00000157240,ENSG00000161202,ENSG00000180340,ENSG00000180900,ENSG00000184634,ENSG00000185920"
"51","yellow",1,TRUE,0.0374,73,781,13,0.017,0.178,"GO:0006805","BP",19,"xenobiotic metabolic process",1,"ENSG00000053371,ENSG00000084207,ENSG00000100243,ENSG00000105852,ENSG00000120915,ENSG00000134716,ENSG00000143819,ENSG00000159231,ENSG00000162482,ENSG00000168765,ENSG00000181019,ENSG00000213366,ENSG00000243989"
"64","yellow",1,TRUE,0.0388,100,781,16,0.02,0.16,"GO:1901568","BP",62,"fatty acid derivative metabolic process",1,"ENSG00000012660,ENSG00000078401,ENSG00000103740,ENSG00000105607,ENSG00000105852,ENSG00000105854,ENSG00000111058,ENSG00000120915,ENSG00000127472,ENSG00000134716,ENSG00000145284,ENSG00000149485,ENSG00000161533,ENSG00000162889,ENSG00000196139,ENSG00000197977"
"40","yellow",1,TRUE,0.0401,65,781,12,0.015,0.185,"GO:0098869","BP",125,"cellular oxidant detoxification",1,"ENSG00000084207,ENSG00000101144,ENSG00000116044,ENSG00000116157,ENSG00000117592,ENSG00000120733,ENSG00000121691,ENSG00000130203,ENSG00000130988,ENSG00000167693,ENSG00000181019,ENSG00000213366"
"136","yellow",1,TRUE,0.0422,14,781,5,0.006,0.357,"GO:0042813","MF",121,"Wnt-activated receptor activity",1,"ENSG00000134569,ENSG00000155760,ENSG00000157240,ENSG00000174804,ENSG00000180340"
"33","yellow",1,TRUE,0.0437,92,781,15,0.019,0.163,"GO:0003014","BP",81,"renal system process",1,"ENSG00000026103,ENSG00000078295,ENSG00000078401,ENSG00000093010,ENSG00000109062,ENSG00000109501,ENSG00000134548,ENSG00000135744,ENSG00000136160,ENSG00000152661,ENSG00000171791,ENSG00000171885,ENSG00000196139,ENSG00000213853,ENSG00000240583"
"2","yellow",1,TRUE,0.0459,66,781,12,0.015,0.182,"GO:2001057","BP",50,"reactive nitrogen species metabolic process",1,"ENSG00000003989,ENSG00000078401,ENSG00000100300,ENSG00000120885,ENSG00000130988,ENSG00000135744,ENSG00000136869,ENSG00000139531,ENSG00000146648,ENSG00000153904,ENSG00000181019,ENSG00000213722"
"8","yellow",1,TRUE,0.0477,9,781,4,0.005,0.444,"GO:0006563","BP",98,"L-serine metabolic process",1,"ENSG00000092621,ENSG00000135069,ENSG00000135094,ENSG00000160200"
"13","yellow",1,TRUE,0.0477,9,781,4,0.005,0.444,"GO:0006853","BP",141,"carnitine shuttle",1,"ENSG00000076555,ENSG00000110090,ENSG00000157184,ENSG00000178537"
"94","yellow",1,TRUE,0.0477,9,781,4,0.005,0.444,"GO:0090005","BP",78,"negative regulation of establishment of protein localization to plasma membrane",1,"ENSG00000066027,ENSG00000119729,ENSG00000131626,ENSG00000135926"
"119","yellow",1,TRUE,0.05,329,781,38,0.049,0.116,"GO:0015629","CC",12,"actin cytoskeleton",1,"ENSG00000010810,ENSG00000042493,ENSG00000071127,ENSG00000073712,ENSG00000078114,ENSG00000079337,ENSG00000079691,ENSG00000079739,ENSG00000081320,ENSG00000092820,ENSG00000095637,ENSG00000099204,ENSG00000101605,ENSG00000109062,ENSG00000113657,ENSG00000114166,ENSG00000117394,ENSG00000117519,ENSG00000119729,ENSG00000124942,ENSG00000126016,ENSG00000127603,ENSG00000129116,ENSG00000130055,ENSG00000145555,ENSG00000146966,ENSG00000154553,ENSG00000158195,ENSG00000162733,ENSG00000162909,ENSG00000163110,ENSG00000164877,ENSG00000168385,ENSG00000172380,ENSG00000176105,ENSG00000179604,ENSG00000196091,ENSG00000198736"
"142","yellow",1,TRUE,0.05,36,781,14,0.018,0.389,"KEGG:00071","keg",59,"Fatty acid degradation",1,"ENSG00000072778,ENSG00000084754,ENSG00000103740,ENSG00000105607,ENSG00000110090,ENSG00000113790,ENSG00000138029,ENSG00000138796,ENSG00000157184,ENSG00000161533,ENSG00000164904,ENSG00000167315,ENSG00000167969,ENSG00000198721"
"531","blue",1,TRUE,1.7e-21,933,1054,186,0.176,0.199,"GO:0060089","MF",4,"molecular transducer activity",1,"ENSG00000002726,ENSG00000004948,ENSG00000008438,ENSG00000010310,ENSG00000012504,ENSG00000013588,ENSG00000027644,ENSG00000036828,ENSG00000049249,ENSG00000057149,ENSG00000074660,ENSG00000075073,ENSG00000075275,ENSG00000080293,ENSG00000080644,ENSG00000089692,ENSG00000090339,ENSG00000090659,ENSG00000091181,ENSG00000091831,ENSG00000096264,ENSG00000099957,ENSG00000100652,ENSG00000101017,ENSG00000101890,ENSG00000102195,ENSG00000102239,ENSG00000103310,ENSG00000103522,ENSG00000105369,ENSG00000105383,ENSG00000106113,ENSG00000106128,ENSG00000107611,ENSG00000108405,ENSG00000109072,ENSG00000110195,ENSG00000110448,ENSG00000111291,ENSG00000111886,ENSG00000112164,ENSG00000112462,ENSG00000113262,ENSG00000115590,ENSG00000115607,ENSG00000116824,ENSG00000117090,ENSG00000117091,ENSG00000117281,ENSG00000117425,ENSG00000120436,ENSG00000120903,ENSG00000121377,ENSG00000121594,ENSG00000121764,ENSG00000122223,ENSG00000124334,ENSG00000124557,ENSG00000124731,ENSG00000125522,ENSG00000125618,ENSG00000125861,ENSG00000125910,ENSG00000126262,ENSG00000126353,ENSG00000127529,ENSG00000128310,ENSG00000128519,ENSG00000128602,ENSG00000131080,ENSG00000131355,ENSG00000131910,ENSG00000134460,ENSG00000134640,ENSG00000135312,ENSG00000135409,ENSG00000135569,ENSG00000135902,ENSG00000135960,ENSG00000136011,ENSG00000137648,ENSG00000137868,ENSG00000139193,ENSG00000142677,ENSG00000143167,ENSG00000143257,ENSG00000143365,ENSG00000143412,ENSG00000144648,ENSG00000144852,ENSG00000146013,ENSG00000146378,ENSG00000146904,ENSG00000147168,ENSG00000148200,ENSG00000148734,ENSG00000149295,ENSG00000149596,ENSG00000151577,ENSG00000151704,ENSG00000152207,ENSG00000154165,ENSG00000154646,ENSG00000155269,ENSG00000157551,ENSG00000158292,ENSG00000159197,ENSG00000160013,ENSG00000160183,ENSG00000160654,ENSG00000160791,ENSG00000160867,ENSG00000160951,ENSG00000161944,ENSG00000162896,ENSG00000163218,ENSG00000163394,ENSG00000163464,ENSG00000163702,ENSG00000163914,ENSG00000164078,ENSG00000164251,ENSG00000165215,ENSG00000166736,ENSG00000167286,ENSG00000167768,ENSG00000167825,ENSG00000167850,ENSG00000168124,ENSG00000168158,ENSG00000168412,ENSG00000168447,ENSG00000168685,ENSG00000168995,ENSG00000169777,ENSG00000169836,ENSG00000170289,ENSG00000170545,ENSG00000170820,ENSG00000171631,ENSG00000171936,ENSG00000172146,ENSG00000172215,ENSG00000172519,ENSG00000173578,ENSG00000173762,ENSG00000174343,ENSG00000174417,ENSG00000174837,ENSG00000175591,ENSG00000176136,ENSG00000176170,ENSG00000178623,ENSG00000179546,ENSG00000180016,ENSG00000182070,ENSG00000182631,ENSG00000182704,ENSG00000182885,ENSG00000183024,ENSG00000183625,ENSG00000183813,ENSG00000184012,ENSG00000184166,ENSG00000185231,ENSG00000185245,ENSG00000186827,ENSG00000186912,ENSG00000187244,ENSG00000187266,ENSG00000187848,ENSG00000187908,ENSG00000188763,ENSG00000188778,ENSG00000189143,ENSG00000196184,ENSG00000198049,ENSG00000198851,ENSG00000204688,ENSG00000204701,ENSG00000206474,ENSG00000213215,ENSG00000215644,ENSG00000239998,ENSG00000241106,ENSG00000259207"
"581","blue",1,TRUE,1.18e-19,326,1054,91,0.086,0.279,"GO:0004930","MF",17,"G-protein coupled receptor activity",1,"ENSG00000004948,ENSG00000010310,ENSG00000013588,ENSG00000036828,ENSG00000075073,ENSG00000075275,ENSG00000080293,ENSG00000080644,ENSG00000102195,ENSG00000102239,ENSG00000106113,ENSG00000106128,ENSG00000111291,ENSG00000112164,ENSG00000112462,ENSG00000113262,ENSG00000120436,ENSG00000121377,ENSG00000121764,ENSG00000125522,ENSG00000125618,ENSG00000125910,ENSG00000126262,ENSG00000126353,ENSG00000127529,ENSG00000128310,ENSG00000128519,ENSG00000128602,ENSG00000131355,ENSG00000134640,ENSG00000135312,ENSG00000135409,ENSG00000135569,ENSG00000144648,ENSG00000146378,ENSG00000148734,ENSG00000149295,ENSG00000151577,ENSG00000152207,ENSG00000154165,ENSG00000155269,ENSG00000158292,ENSG00000160013,ENSG00000160791,ENSG00000160951,ENSG00000163394,ENSG00000163464,ENSG00000163914,ENSG00000164251,ENSG00000166736,ENSG00000167825,ENSG00000168124,ENSG00000168158,ENSG00000168412,ENSG00000169777,ENSG00000169836,ENSG00000170820,ENSG00000171631,ENSG00000171936,ENSG00000172146,ENSG00000172215,ENSG00000172519,ENSG00000173578,ENSG00000174417,ENSG00000174837,ENSG00000175591,ENSG00000176136,ENSG00000176170,ENSG00000178623,ENSG00000179546,ENSG00000180016,ENSG00000182070,ENSG00000182631,ENSG00000182704,ENSG00000182885,ENSG00000183024,ENSG00000183625,ENSG00000183813,ENSG00000184166,ENSG00000185231,ENSG00000185245,ENSG00000186912,ENSG00000188763,ENSG00000188778,ENSG00000196184,ENSG00000198049,ENSG00000204688,ENSG00000204701,ENSG00000206474,ENSG00000213215,ENSG00000215644"
"461","blue",1,TRUE,3.91e-16,1147,1054,200,0.19,0.174,"GO:0005887","CC",1,"integral component of plasma membrane",1,"ENSG00000004939,ENSG00000004948,ENSG00000007216,ENSG00000007314,ENSG00000007952,ENSG00000010704,ENSG00000013588,ENSG00000016490,ENSG00000021852,ENSG00000023839,ENSG00000027644,ENSG00000036828,ENSG00000039537,ENSG00000049249,ENSG00000053918,ENSG00000064201,ENSG00000070915,ENSG00000075073,ENSG00000075275,ENSG00000075429,ENSG00000075461,ENSG00000075673,ENSG00000080293,ENSG00000080644,ENSG00000086159,ENSG00000089356,ENSG00000090339,ENSG00000096264,ENSG00000099957,ENSG00000100652,ENSG00000101017,ENSG00000101307,ENSG00000101890,ENSG00000102174,ENSG00000102195,ENSG00000102245,ENSG00000103375,ENSG00000104783,ENSG00000105352,ENSG00000105369,ENSG00000105383,ENSG00000105388,ENSG00000105492,ENSG00000105668,ENSG00000105675,ENSG00000106113,ENSG00000106952,ENSG00000108405,ENSG00000108576,ENSG00000110195,ENSG00000110375,ENSG00000110448,ENSG00000111886,ENSG00000112499,ENSG00000112818,ENSG00000113262,ENSG00000114638,ENSG00000115665,ENSG00000115850,ENSG00000115884,ENSG00000116176,ENSG00000116218,ENSG00000116824,ENSG00000117091,ENSG00000117472,ENSG00000120215,ENSG00000120436,ENSG00000120659,ENSG00000120903,ENSG00000121764,ENSG00000124334,ENSG00000124557,ENSG00000124564,ENSG00000124568,ENSG00000125255,ENSG00000125522,ENSG00000125910,ENSG00000126262,ENSG00000128310,ENSG00000129450,ENSG00000129744,ENSG00000131080,ENSG00000131183,ENSG00000132677,ENSG00000134640,ENSG00000135312,ENSG00000135409,ENSG00000135569,ENSG00000135902,ENSG00000136011,ENSG00000137078,ENSG00000139193,ENSG00000140675,ENSG00000143167,ENSG00000144648,ENSG00000144671,ENSG00000145113,ENSG00000146039,ENSG00000146904,ENSG00000147168,ENSG00000148734,ENSG00000149295,ENSG00000149452,ENSG00000151577,ENSG00000151704,ENSG00000152207,ENSG00000153802,ENSG00000154165,ENSG00000156222,ENSG00000156738,ENSG00000157131,ENSG00000157227,ENSG00000157551,ENSG00000157765,ENSG00000158477,ENSG00000158481,ENSG00000158887,ENSG00000159197,ENSG00000160013,ENSG00000160654,ENSG00000160791,ENSG00000160867,ENSG00000160951,ENSG00000162139,ENSG00000162896,ENSG00000163394,ENSG00000163599,ENSG00000163702,ENSG00000163914,ENSG00000164078,ENSG00000164251,ENSG00000164626,ENSG00000165215,ENSG00000165794,ENSG00000166589,ENSG00000167580,ENSG00000167850,ENSG00000168065,ENSG00000168412,ENSG00000168447,ENSG00000168594,ENSG00000168995,ENSG00000169704,ENSG00000169836,ENSG00000170190,ENSG00000170289,ENSG00000170545,ENSG00000170820,ENSG00000171017,ENSG00000171631,ENSG00000171815,ENSG00000172215,ENSG00000173578,ENSG00000173826,ENSG00000174175,ENSG00000174343,ENSG00000174417,ENSG00000174837,ENSG00000175591,ENSG00000176076,ENSG00000176136,ENSG00000177455,ENSG00000178623,ENSG00000179546,ENSG00000179913,ENSG00000180509,ENSG00000181634,ENSG00000182070,ENSG00000182631,ENSG00000183625,ENSG00000183813,ENSG00000184012,ENSG00000184166,ENSG00000184908,ENSG00000185231,ENSG00000185245,ENSG00000185313,ENSG00000185664,ENSG00000186431,ENSG00000186827,ENSG00000186912,ENSG00000187010,ENSG00000187244,ENSG00000187266,ENSG00000187848,ENSG00000188778,ENSG00000189143,ENSG00000189430,ENSG00000196184,ENSG00000196549,ENSG00000197467,ENSG00000197506,ENSG00000198049,ENSG00000198691,ENSG00000198851,ENSG00000204969,ENSG00000215644,ENSG00000232810,ENSG00000241635,ENSG00000259207"
"401","blue",1,TRUE,9.19e-13,619,1054,121,0.115,0.195,"GO:0007186","BP",38,"G-protein coupled receptor signaling pathway",1,"ENSG00000004948,ENSG00000010310,ENSG00000013588,ENSG00000036828,ENSG00000048545,ENSG00000075073,ENSG00000075275,ENSG00000080293,ENSG00000080644,ENSG00000091831,ENSG00000096395,ENSG00000101890,ENSG00000102104,ENSG00000102195,ENSG00000102239,ENSG00000102962,ENSG00000105723,ENSG00000106113,ENSG00000106128,ENSG00000108702,ENSG00000110245,ENSG00000110680,ENSG00000111291,ENSG00000111886,ENSG00000112164,ENSG00000112462,ENSG00000113262,ENSG00000114349,ENSG00000114737,ENSG00000118137,ENSG00000120436,ENSG00000121377,ENSG00000121764,ENSG00000125522,ENSG00000125618,ENSG00000125910,ENSG00000126262,ENSG00000126353,ENSG00000127529,ENSG00000128165,ENSG00000128310,ENSG00000128519,ENSG00000128602,ENSG00000129437,ENSG00000130561,ENSG00000131142,ENSG00000131355,ENSG00000132915,ENSG00000134640,ENSG00000135312,ENSG00000135569,ENSG00000138755,ENSG00000141506,ENSG00000144648,ENSG00000146378,ENSG00000148734,ENSG00000149295,ENSG00000151577,ENSG00000152207,ENSG00000154165,ENSG00000155269,ENSG00000158292,ENSG00000159723,ENSG00000160013,ENSG00000160791,ENSG00000160951,ENSG00000161610,ENSG00000163394,ENSG00000163464,ENSG00000163914,ENSG00000164251,ENSG00000166736,ENSG00000167825,ENSG00000168124,ENSG00000168158,ENSG00000168412,ENSG00000169777,ENSG00000169836,ENSG00000170820,ENSG00000171631,ENSG00000171936,ENSG00000172146,ENSG00000172156,ENSG00000172215,ENSG00000172519,ENSG00000173020,ENSG00000173578,ENSG00000174417,ENSG00000174837,ENSG00000175591,ENSG00000176136,ENSG00000176170,ENSG00000178623,ENSG00000179546,ENSG00000180016,ENSG00000181374,ENSG00000182070,ENSG00000182379,ENSG00000182631,ENSG00000182704,ENSG00000182885,ENSG00000183024,ENSG00000183625,ENSG00000183813,ENSG00000184166,ENSG00000184502,ENSG00000185231,ENSG00000185245,ENSG00000185527,ENSG00000186912,ENSG00000188763,ENSG00000188778,ENSG00000196184,ENSG00000198049,ENSG00000198055,ENSG00000198851,ENSG00000204688,ENSG00000204701,ENSG00000206474,ENSG00000213215,ENSG00000215644"
